error_type,reason,page,table,row,side,code,description,pack,uom,price,raw_text,category
parse_error,Invalid SKU format: R,2,0,116,left,R,RADICCHIO 9 CT,9 CT,CTN,$ 1 9.50,R | RADICCHIO 9 CT | 9 CT | CTN | $ 1 9.50,
parse_error,Missing code or description,2,0,121,right,CONVENTIONAL SQUASH & ZUCCHINI,,,,,CONVENTIONAL SQUASH & ZUCCHINI |  |  |  | ,
parse_error,Cannot parse price: #N/A,2,0,125,left,R8D,J.MARCHINI FARMS ROSA CHICORY MIX,12 CT,CTN,#N/A,R8D | J.MARCHINI FARMS ROSA CHICORY MIX | 12 CT | CTN | #N/A,
parse_error,Missing code or description,2,0,127,left,CONVENTIONAL CITRUS,,,,,CONVENTIONAL CITRUS |  |  |  | ,
parse_error,Invalid SKU format: L,2,0,135,left,L,LEMONS CHOICE 165 CT,165 CT,CTN,$ 3 4.75,L | LEMONS CHOICE 165 CT | 165 CT | CTN | $ 3 4.75,
parse_error,Missing code or description,2,0,135,right,CONVENTIONAL TOMATOS,,,,,CONVENTIONAL TOMATOS |  |  |  | ,
parse_error,Missing code or description,3,0,12,left,L2B1,,12 X 2 LBS,CTN,$ 5 1.50,L2B1 |  | 12 X 2 LBS | CTN | $ 5 1.50,
parse_error,Missing code or description,3,0,19,left,OR6AAC,,3 LB,CTN,$ 5 1.75,OR6AAC |  | 3 LB | CTN | $ 5 1.75,
parse_error,Missing code or description,3,0,20,left,OR6AAD,,15 X 2 LBS,CTN,$ 7 7.75,OR6AAD |  | 15 X 2 LBS | CTN | $ 7 7.75,
parse_error,Missing code or description,3,0,21,left,OR6AAE,,4 X 5 LBS,CTN,$ 4 6.00,OR6AAE |  | 4 X 5 LBS | CTN | $ 4 6.00,
parse_error,Missing code or description,3,0,22,left,OR6AAR,,64-72 CT,CTN,$ 7 4.75,OR6AAR |  | 64-72 CT | CTN | $ 7 4.75,
parse_error,Cannot parse price: #N/A,3,0,29,left,OR902M,SANGUINELLI BLOOD ORANGES 25LBS,25LBS,CTN,#N/A,OR902M | SANGUINELLI BLOOD ORANGES 25LBS | 25LBS | CTN | #N/A,
parse_error,Missing code or description,3,0,30,right,CONVENTIONAL TROPICAL & SPECIALTY,,,,,CONVENTIONAL TROPICAL & SPECIALTY |  |  |  | ,
parse_error,Missing code or description,3,0,36,left,CONVENTIONAL CORN,,,,,CONVENTIONAL CORN |  |  |  | ,
parse_error,Missing code or description,3,0,42,left,CONVENTIONAL CUCUMBERS,,,,,CONVENTIONAL CUCUMBERS |  |  |  | ,
parse_error,Invalid SKU format: K,3,0,44,right,K,KIWI 1 LYR,36 CT,CTN,$ 2 1.25,K | KIWI 1 LYR | 36 CT | CTN | $ 2 1.25,
parse_error,Cannot parse price: #N/A,3,0,47,right,LY1,RAMBUTAN 5 LB,5 LB,CTN,#N/A,LY1 | RAMBUTAN 5 LB | 5 LB | CTN | #N/A,
parse_error,Missing code or description,3,0,54,left,CONVENTIONAL EGGPLANT,,,,,CONVENTIONAL EGGPLANT |  |  |  | ,
parse_error,Missing code or description,3,0,59,left,CONVENTIONAL FENNEL,,,,,CONVENTIONAL FENNEL |  |  |  | ,
